code_id,amplitude_mad,interval_jitter_fraction,threshold,synthetic_recoveries,synthetic_injections,synthetic_recovery_fraction,exact_lower,exact_upper,engineering_check_only
double_lrlr_pause,2.0,0.05,0.675,85,120,0.7083333333333334,0.6183757182711229,0.7877102517883379,True
double_lrlr_pause,2.0,0.15,0.675,81,120,0.675,0.5834727542807276,0.7576549299334755,True
double_lrlr_pause,2.0,0.25,0.675,77,120,0.6416666666666667,0.5490390361808863,0.7271215188316005,True
double_lrlr_pause,4.0,0.05,0.675,110,120,0.9166666666666666,0.8520845706626649,0.9593138711319835,True
double_lrlr_pause,4.0,0.15,0.675,108,120,0.9,0.8318347872973342,0.9472522136099402,True
double_lrlr_pause,4.0,0.25,0.675,106,120,0.8833333333333333,0.8120049096131918,0.9347278494900573,True
double_lrlr_pause,6.0,0.05,0.675,118,120,0.9833333333333333,0.9410907805329731,0.9979751776623069,True
double_lrlr_pause,6.0,0.15,0.675,116,120,0.9666666666666667,0.9168512785714898,0.9908444944431632,True
double_lrlr_pause,6.0,0.25,0.675,113,120,0.9416666666666667,0.8835016203543854,0.9762279762094809,True
iso8_matched,2.0,0.05,0.675,96,120,0.8,0.71719010910206,0.8674524324552813,True
iso8_matched,2.0,0.15,0.675,88,120,0.7333333333333333,0.6448859874929813,0.8099109272179073,True
iso8_matched,2.0,0.25,0.675,87,120,0.725,0.6360159264005362,0.8025448721736067,True
iso8_matched,4.0,0.05,0.675,110,120,0.9166666666666666,0.8520845706626649,0.9593138711319835,True
iso8_matched,4.0,0.15,0.675,108,120,0.9,0.8318347872973342,0.9472522136099402,True
iso8_matched,4.0,0.25,0.675,104,120,0.8666666666666667,0.7925216366655644,0.9218271851338226,True
iso8_matched,6.0,0.05,0.675,117,120,0.975,0.928676805843095,0.9948144250416786,True
iso8_matched,6.0,0.15,0.675,117,120,0.975,0.928676805843095,0.9948144250416786,True
iso8_matched,6.0,0.25,0.675,113,120,0.9416666666666667,0.8835016203543854,0.9762279762094809,True
