subject_id,record_id,code_id,anchor_index,anchor_seconds,amplitude_mad,interval_jitter_fraction,local_mad_uv,injection_samples,maximum_matched_score,detected_start_seconds,detected_time_scale,paired_perturbation_seed,engineering_check_only
ST01,ST7011J0,iso8_matched,0,4825.0,4.0,0.15,22.470532064136755,711,0.9352765195485491,4825.05,1.1,8092397536805417117,True
ST01,ST7011J0,iso8_matched,1,8824.0,4.0,0.15,32.02212074383431,702,0.8735744234255495,8823.95,1.1,8092397536805417117,True
ST01,ST7011J0,iso8_matched,2,12668.0,4.0,0.15,30.669043797756064,704,0.6691035728465085,12667.95,1.1,8092397536805417117,True
ST01,ST7011J0,iso8_matched,3,12783.0,4.0,0.15,31.65317851168902,658,0.7894769908795651,12783.0,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,4,12984.0,4.0,0.15,67.11883940536848,590,0.8354760670796874,12983.9,0.9,8092397536805417117,True
ST01,ST7011J0,iso8_matched,5,23360.0,4.0,0.15,54.94658480146891,634,0.9010229385808489,23359.85,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,6,23508.0,4.0,0.15,52.27847300431116,654,0.9617679027844916,23507.95,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,7,23599.0,4.0,0.15,55.60342850185621,626,0.0,,,8092397536805417117,True
ST01,ST7011J0,iso8_matched,8,23768.0,4.0,0.15,80.39734612447184,604,0.8265792724089693,23767.9,0.9,8092397536805417117,True
ST01,ST7011J0,iso8_matched,9,23933.0,4.0,0.15,67.7957624243051,618,0.9558602558466164,23933.1,0.9,8092397536805417117,True
ST01,ST7011J0,iso8_matched,10,24145.0,4.0,0.15,61.139455975221786,657,0.9069596342463055,24145.0,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,11,24967.0,4.0,0.15,14.04240729933759,680,0.8829683406378739,24967.1,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,12,25119.0,4.0,0.15,11.62713832888316,631,0.898976163020843,25119.15,0.9,8092397536805417117,True
ST01,ST7011J0,iso8_matched,13,25246.0,4.0,0.15,14.809572405790234,663,0.8784652996549019,25246.05,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,14,25316.0,4.0,0.15,16.98153592947315,720,0.8990420758358962,25316.05,1.1,8092397536805417117,True
ST01,ST7011J0,iso8_matched,15,25434.0,4.0,0.15,19.177869839074425,731,0.9269592735733297,25434.05,1.1,8092397536805417117,True
ST01,ST7011J0,iso8_matched,16,25681.0,4.0,0.15,18.67247532292787,684,0.8565395223580495,25681.15,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,17,26016.0,4.0,0.15,25.401128078986275,675,0.8743851841505259,26016.1,1.0,8092397536805417117,True
ST01,ST7011J0,iso8_matched,18,26214.0,4.0,0.15,20.38221677519061,613,0.6228788187969547,26213.3,0.9,8092397536805417117,True
ST01,ST7011J0,iso8_matched,19,26319.0,4.0,0.15,23.29073732163514,676,0.9388225991636657,26319.15,1.0,8092397536805417117,True
ST01,ST7011J0,sync8_c0,0,4825.0,4.0,0.15,22.470532064136755,700,0.898010727370349,4825.05,1.1,8092397536805417117,True
ST01,ST7011J0,sync8_c0,1,8824.0,4.0,0.15,32.02212074383431,691,0.8661583884311793,8823.95,1.1,8092397536805417117,True
ST01,ST7011J0,sync8_c0,2,12668.0,4.0,0.15,30.669043797756064,695,0.7367906275158104,12668.0,1.1,8092397536805417117,True
ST01,ST7011J0,sync8_c0,3,12783.0,4.0,0.15,31.65317851168902,662,0.7659451899382668,12783.05,1.0,8092397536805417117,True
ST01,ST7011J0,sync8_c0,4,12984.0,4.0,0.15,67.11883940536848,588,0.8158156853900853,12983.85,0.9,8092397536805417117,True
ST01,ST7011J0,sync8_c0,5,23360.0,4.0,0.15,54.94658480146891,630,0.8885052142792588,23360.05,0.9,8092397536805417117,True
ST01,ST7011J0,sync8_c0,6,23508.0,4.0,0.15,52.27847300431116,654,0.9619812464968377,23507.95,1.0,8092397536805417117,True
ST01,ST7011J0,sync8_c0,7,23599.0,4.0,0.15,55.60342850185621,618,0.8445592064086918,23599.05,0.9,8092397536805417117,True
ST01,ST7011J0,sync8_c0,8,23768.0,4.0,0.15,80.39734612447184,612,0.8187695000829767,23767.95,0.9,8092397536805417117,True
ST01,ST7011J0,sync8_c0,9,23933.0,4.0,0.15,67.7957624243051,615,0.9603159473192161,23933.05,0.9,8092397536805417117,True
ST01,ST7011J0,sync8_c0,10,24145.0,4.0,0.15,61.139455975221786,652,0.91977135574428,24145.0,1.0,8092397536805417117,True
ST01,ST7011J0,sync8_c0,11,24967.0,4.0,0.15,14.04240729933759,687,0.9094527731171934,24966.95,1.1,8092397536805417117,True
