subject_id,record_id,code_id,anchor_index,anchor_seconds,amplitude_mad,interval_jitter_fraction,local_mad_uv,injection_samples,maximum_matched_score,detected_start_seconds,detected_time_scale,paired_perturbation_seed,engineering_check_only
SC12,SC4121E0,iso8_matched,0,32901.0,4.0,0.15,9.436619304325559,680,0.7654933425314016,32901.15,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,1,32992.0,4.0,0.15,9.443497443706736,714,0.9359414239031888,32992.0,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,2,39291.0,4.0,0.15,9.24558138191145,673,0.9484430656878786,39291.15,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,3,39769.0,4.0,0.15,17.855715384672635,713,0.9623124533390938,39769.0,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,4,40035.0,4.0,0.15,9.952373766964515,723,0.950165428715525,40035.05,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,5,40416.0,4.0,0.15,10.446474622226884,619,0.8724843215647107,40416.05,0.9,11149647791781534460,True
SC12,SC4121E0,iso8_matched,6,40602.0,4.0,0.15,10.356004409239816,695,0.5818114816148762,40602.15,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,7,40664.0,4.0,0.15,12.297271590058694,636,0.7627836744286699,40663.95,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,8,45589.0,4.0,0.15,8.32451332507349,698,0.9346584860744103,45588.85,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,9,45686.0,4.0,0.15,9.883478378188398,743,0.8037147624494265,45686.15,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,10,46046.0,4.0,0.15,10.935748895406036,666,0.9258859114569052,46046.0,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,11,46120.0,4.0,0.15,8.813357383473923,636,0.8812896255458911,46119.95,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,12,46394.0,4.0,0.15,8.257915150645907,692,0.9361402384430072,46393.85,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,13,46762.0,4.0,0.15,8.3384029821038,712,0.8988236309840287,46762.05,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,14,51004.0,4.0,0.15,12.26478039006712,626,0.5267849711464642,51004.3,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,15,51808.0,4.0,0.15,8.416654221752047,659,0.5785353908867785,51808.0,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,16,54942.0,4.0,0.15,9.516537500959233,629,0.9237408589646768,54941.95,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,17,55005.0,4.0,0.15,9.296880855865124,713,0.9708557105227592,55005.0,1.1,11149647791781534460,True
SC12,SC4121E0,iso8_matched,18,55713.0,4.0,0.15,9.02733918906151,672,0.8901035587063769,55713.0,1.0,11149647791781534460,True
SC12,SC4121E0,iso8_matched,19,56287.0,4.0,0.15,18.90412594110651,582,0.5479149749790007,56287.5,0.9,11149647791781534460,True
SC12,SC4121E0,sync8_c0,0,32901.0,4.0,0.15,9.436619304325559,677,0.7185284018911106,32901.1,1.0,11149647791781534460,True
SC12,SC4121E0,sync8_c0,1,32992.0,4.0,0.15,9.443497443706736,714,0.9588394275709812,32992.05,1.1,11149647791781534460,True
SC12,SC4121E0,sync8_c0,2,39291.0,4.0,0.15,9.24558138191145,667,0.9579808802886528,39291.15,1.0,11149647791781534460,True
SC12,SC4121E0,sync8_c0,3,39769.0,4.0,0.15,17.855715384672635,708,0.9575016830190313,39769.0,1.1,11149647791781534460,True
